#           x                  Y_DM                       Y_eq_DM                  Y_Coannihilator                       Y_eq_Coannihilator
1.000069470415926309e+00   3.515719958682738278e-03   3.515719958682237811e-03   1.046877964264683082e-02   1.046877964264563386e-02
1.000119277548702001e+00   3.515655087986358125e-03   3.515655087985857657e-03   1.046857998886792721e-02   1.046857998886673025e-02
1.000196485508855204e+00   3.515554527496273819e-03   3.515554527495773351e-03   1.046827049228026690e-02   1.046827049227907168e-02
1.000273693469008407e+00   3.515453964674746315e-03   3.515453964674245414e-03   1.046796098894223377e-02   1.046796098894103681e-02
1.000350901429161610e+00   3.515353399522436108e-03   3.515353399521935207e-03   1.046765147885588172e-02   1.046765147885468476e-02
1.001122981030693637e+00   3.514347619951019470e-03   3.514347619950518135e-03   1.046455600728548978e-02   1.046455600728429108e-02
1.001895060632225665e+00   3.513341608024932606e-03   3.513341608024430403e-03   1.046145986313644534e-02   1.046145986313524491e-02
1.002667140233757692e+00   3.512335364401522088e-03   3.512335364401018584e-03   1.045836304845561109e-02   1.045836304845440892e-02
1.003439219835289720e+00   3.511328889737578077e-03   3.511328889737074140e-03   1.045526556528811150e-02   1.045526556528690761e-02
1.009336438074430742e+00   3.503633787059011202e-03   3.503633787058460861e-03   1.043158485433398272e-02   1.043158485433264004e-02
1.015233656313571764e+00   3.495925534843236961e-03   3.495925534841901657e-03   1.040786616928592728e-02   1.040786616928221150e-02
1.021130874552712786e+00   3.488204422552864618e-03   3.488204422552258765e-03   1.038411041107885693e-02   1.038411041107735293e-02
1.027028092791853808e+00   3.480470737766901222e-03   3.480470737766196924e-03   1.036031847455795747e-02   1.036031847455616550e-02
1.039299581311231568e+00   3.464338698542292986e-03   3.464338698541676292e-03   1.031069786491066280e-02   1.031069786490915706e-02
1.051571069830609328e+00   3.448156001793795545e-03   3.448156001793539240e-03   1.026093236348609578e-02   1.026093236348579914e-02
1.063842558349987089e+00   3.431925160416674468e-03   3.431925160416252930e-03   1.021102978029358663e-02   1.021102978029266202e-02
1.076114046869364849e+00   3.415648652213631922e-03   3.415648652213292783e-03   1.016099781211484039e-02   1.016099781211417426e-02
1.088385535388742609e+00   3.399328920024530156e-03   3.399328920024340638e-03   1.011084404299191462e-02   1.011084404299170993e-02
1.109297469855858198e+00   3.371425586511166833e-03   3.371425586511389745e-03   1.002511719870152231e-02   1.002511719870247467e-02
1.130209404322973787e+00   3.343415393034216039e-03   3.343415393033820956e-03   9.939094522952095570e-03   9.939094522951254229e-03
1.151121338790089377e+00   3.315309734324399255e-03   3.315309734324264380e-03   9.852811311989609008e-03   9.852811311989543089e-03
1.172033273257204966e+00   3.287119717483849481e-03   3.287119717483945758e-03   9.766301937523591548e-03   9.766301937524210844e-03
1.192945207724320555e+00   3.258856164674904434e-03   3.258856164675137321e-03   9.679599856258316523e-03   9.679599856259343479e-03
1.213857142191436145e+00   3.230529615987814789e-03   3.230529615987105287e-03   9.592737619967097243e-03   9.592737619965357315e-03
1.240449677027623210e+00   3.194433476140511128e-03   3.194433476140200179e-03   9.482098231761238241e-03   9.482098231760681395e-03
1.267042211863810275e+00   3.158272493930610551e-03   3.158272493930132201e-03   9.371314018180067207e-03   9.371314018179021169e-03
1.293634746699997340e+00   3.122066415924215806e-03   3.122066415924104350e-03   9.260445746012297905e-03   9.260445746012330864e-03
1.320227281536184405e+00   3.085834289795549076e-03   3.085834289794933682e-03   9.149551949327434930e-03   9.149551949326000314e-03
1.346819816372371470e+00   3.049594476217076279e-03   3.049594476216591857e-03   9.038688969992271852e-03   9.038688969991224079e-03
1.373412351208558535e+00   3.013364661114193484e-03   3.013364661113934577e-03   8.927910999237842482e-03   8.927910999237457373e-03
1.398633257713313149e+00   2.979028264624497113e-03   2.979028264624301956e-03   8.822972759511306384e-03   8.822972759511108626e-03
1.423854164218067764e+00   2.944730162582408911e-03   2.944730162582124850e-03   8.718200564437221523e-03   8.718200564436763556e-03
1.449075070722822378e+00   2.910483822576981957e-03   2.910483822576965911e-03   8.613635491595042146e-03   8.613635491595357865e-03
1.474295977227576993e+00   2.876302206844348792e-03   2.876302206844285909e-03   8.509317014930399548e-03   8.509317014930569550e-03
1.499516883732331607e+00   2.842197782459815122e-03   2.842197782459688488e-03   8.405283038773180351e-03   8.405283038773149126e-03
