#           x                  Y_DM                       Y_eq_DM                  Y_Partner                       Y_eq_Partner
1.602625416194014774e+00   2.703819611592083068e-03   2.703819611567515914e-03   7.983672075378171404e-03   7.983672075374800836e-03
1.639809307951171302e+00   2.654426098154026234e-03   2.654426098126332675e-03   7.833378013519944061e-03   7.833378013517439120e-03
1.676993199708327831e+00   2.605352999213313668e-03   2.605352999184247943e-03   7.684163370973719556e-03   7.684163370968556152e-03
1.714177091465484359e+00   2.556629029491587057e-03   2.556629029461796217e-03   7.536114158106370885e-03   7.536114158102327244e-03
1.751360983222640888e+00   2.508281003276157349e-03   2.508281003245526469e-03   7.389310419294392238e-03   7.389310419290921923e-03
1.788544874979797417e+00   2.460333904464348347e-03   2.460333904432417292e-03   7.243826462116469307e-03   7.243826462111207024e-03
1.818058566858334890e+00   2.422578069635683388e-03   2.422578069602850277e-03   7.129337857546554948e-03   7.129337857540636939e-03
1.847572258736872364e+00   2.385100330081458067e-03   2.385100330047879025e-03   7.015756172385519650e-03   7.015756172381286924e-03
1.877085950615409837e+00   2.347910884724805497e-03   2.347910884691133213e-03   6.903111394909389881e-03   6.903111394906238756e-03
1.906599642493947311e+00   2.311019302402542771e-03   2.311019302367774576e-03   6.791431550361035074e-03   6.791431550356607193e-03
1.936113334372484784e+00   2.274434542332323672e-03   2.274434542296862021e-03   6.680742767315886108e-03   6.680742767312093135e-03
1.965627026251022258e+00   2.238164974247840340e-03   2.238164974211244180e-03   6.571069342857346375e-03   6.571069342852418026e-03
1.995620517913590186e+00   2.201636729008356157e-03   2.201636728971095597e-03   6.460676425847888468e-03   6.460676425843809266e-03
2.025614009576158114e+00   2.165449665795633749e-03   2.165449665757283350e-03   6.351377254773898223e-03   6.351377254768946455e-03
2.055607501238726265e+00   2.129610822811280578e-03   2.129610822771710668e-03   6.243191920351428247e-03   6.243191920345087832e-03
2.085600992901294415e+00   2.094126692126589088e-03   2.094126692086749428e-03   6.136138826281050708e-03   6.136138826277191816e-03
2.115594484563862565e+00   2.059003239470056420e-03   2.059003239428764797e-03   6.030234752842054090e-03   6.030234752836051947e-03
2.145587976226430715e+00   2.024245923571579061e-03   2.024245923529773960e-03   5.925494918966104502e-03   5.925494918961432024e-03
2.174830842128478547e+00   1.990715709643306464e-03   1.990715709600347338e-03   5.824510339660195560e-03   5.824510339654391175e-03
2.204073708030526380e+00   1.957542439258708449e-03   1.957542439215172528e-03   5.724656895610459768e-03   5.724656895605697952e-03
2.233316573932574212e+00   1.924729880737277403e-03   1.924729880692713007e-03   5.625944728912412977e-03   5.625944728906977221e-03
2.262559439834622044e+00   1.892281409489604983e-03   1.892281409443902825e-03   5.528382779412702001e-03   5.528382779406161227e-03
2.291802305736669876e+00   1.860200023159824757e-03   1.860200023113767198e-03   5.431978832976855527e-03   5.431978832972234224e-03
2.321045171638717708e+00   1.828488356394298046e-03   1.828488356346951371e-03   5.336739568505704384e-03   5.336739568499438563e-03
2.353428678363218562e+00   1.793805068098047262e-03   1.793805068049979592e-03   5.232637530115475007e-03   5.232637530109990678e-03
2.385812185087719417e+00   1.759580601038918243e-03   1.759580600989964780e-03   5.129976820996771068e-03   5.129976820991453274e-03
2.418195691812220272e+00   1.725817101499827573e-03   1.725817101449764104e-03   5.028762161511109163e-03   5.028762161505098346e-03
2.450579198536721126e+00   1.692516257283899726e-03   1.692516257232558850e-03   4.928996884645851090e-03   4.928996884638508873e-03
2.482962705261221981e+00   1.659679319074250153e-03   1.659679319022519181e-03   4.830683003543195797e-03   4.830683003537824226e-03
2.515346211985722835e+00   1.627307121140672943e-03   1.627307121087966189e-03   4.733821276872048761e-03   4.733821276866429124e-03
2.545110618351701159e+00   1.597963370985636296e-03   1.597963370931922318e-03   4.646073876623061163e-03   4.646073876616798812e-03
2.574875024717679484e+00   1.569012659559001002e-03   1.569012659504312327e-03   4.559551703259140387e-03   4.559551703252332465e-03
2.604639431083657808e+00   1.540454788803463648e-03   1.540454788748102334e-03   4.474252809351817080e-03   4.474252809345498350e-03
2.634403837449636132e+00   1.512289315972200439e-03   1.512289315915889580e-03   4.390174517332662112e-03   4.390174517325828168e-03
2.664168243815614456e+00   1.484515565229551151e-03   1.484515565172179075e-03   4.307313455858397151e-03   4.307313455850620386e-03
2.693932650181592781e+00   1.457132638894487750e-03   1.457132638835991357e-03   4.225665595008788744e-03   4.225665594999822826e-03
2.721706388882150662e+00   1.431932620801827172e-03   1.431932620743335983e-03   4.150568518080700181e-03   4.150568518074336348e-03
2.749480127582708544e+00   1.407070876163563425e-03   1.407070876104137870e-03   4.076519494570064392e-03   4.076519494562980649e-03
2.777253866283266426e+00   1.382546201871705455e-03   1.382546201811662122e-03   4.003513851403517343e-03   4.003513851396715492e-03
2.805027604983824308e+00   1.358357257117659552e-03   1.358357257056793310e-03   3.931546511344123467e-03   3.931546511336896609e-03
2.832801343684382189e+00   1.334502570180704298e-03   1.334502570118893065e-03   3.860612014098327785e-03   3.860612014090225759e-03
2.860575082384940071e+00   1.310980545008198078e-03   1.310980544945404341e-03   3.790704536748496119e-03   3.790704536739363233e-03
2.891547816134409032e+00   1.285139479128443764e-03   1.285139479065256028e-03   3.713948785159632525e-03   3.713948785151658868e-03
2.922520549883877994e+00   1.259707445651819802e-03   1.259707445587240817e-03   3.638453563429239288e-03   3.638453563419463688e-03
