# x,Y(xd),D(xd -> xd),C(xdxdx_ddx),C(xdxdx_uux),C(xdxdx_ssx),C(xdxdx_ccx),C(xdxdx_bbx),C(xdxdx_ttx)
1.3907e-01,7.8030e-03,0.0000e+00,1.8568e-31,1.8568e-31,1.8568e-31,1.8568e-31,1.8568e-31,1.8568e-31
1.4101e-01,7.8030e-03,0.0000e+00,1.8818e-31,1.8818e-31,1.8818e-31,1.8818e-31,1.8818e-31,1.8818e-31
1.4297e-01,7.8030e-03,0.0000e+00,1.9071e-31,1.9071e-31,1.9071e-31,1.9071e-31,1.9071e-31,1.9071e-31
1.4496e-01,7.8030e-03,0.0000e+00,9.6636e-32,9.6636e-32,9.6636e-32,9.6636e-32,9.6636e-32,9.6636e-32
1.4698e-01,7.8030e-03,0.0000e+00,6.5291e-32,6.5291e-32,6.5291e-32,6.5291e-32,6.5291e-32,6.5291e-32
1.4903e-01,7.8030e-03,0.0000e+00,1.9851e-31,1.9851e-31,1.9851e-31,1.9851e-31,1.9851e-31,1.9851e-31
1.5111e-01,7.8030e-03,0.0000e+00,1.0059e-31,1.0059e-31,1.0059e-31,1.0059e-31,1.0059e-31,1.0059e-31
1.5321e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.5534e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.5751e-01,7.8030e-03,0.0000e+00,1.7452e-31,1.7452e-31,1.7452e-31,1.7452e-31,1.7452e-31,1.7452e-31
1.5970e-01,7.8030e-03,0.0000e+00,7.0750e-32,7.0750e-32,7.0750e-32,7.0750e-32,7.0750e-32,7.0750e-32
1.6192e-01,7.8030e-03,0.0000e+00,1.7926e-31,1.7926e-31,1.7926e-31,1.7926e-31,1.7926e-31,1.7926e-31
1.6418e-01,7.8030e-03,0.0000e+00,1.0901e-31,1.0901e-31,1.0901e-31,1.0901e-31,1.0901e-31,1.0901e-31
1.6646e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.6878e-01,7.8030e-03,0.0000e+00,2.9860e-31,2.9860e-31,2.9860e-31,2.9860e-31,2.9860e-31,2.9860e-31
1.7113e-01,7.8030e-03,0.0000e+00,1.5132e-31,1.5132e-31,1.5132e-31,1.5132e-31,1.5132e-31,1.5132e-31
1.7352e-01,7.8030e-03,0.0000e+00,7.6682e-32,7.6682e-32,7.6682e-32,7.6682e-32,7.6682e-32,7.6682e-32
1.7593e-01,7.8030e-03,0.0000e+00,3.1088e-31,3.1088e-31,3.1088e-31,3.1088e-31,3.1088e-31,3.1088e-31
1.7838e-01,7.8030e-03,0.0000e+00,1.9693e-31,1.9693e-31,1.9693e-31,1.9693e-31,1.9693e-31,1.9693e-31
1.8087e-01,7.8030e-03,0.0000e+00,1.1976e-31,1.1976e-31,1.1976e-31,1.1976e-31,1.1976e-31,1.1976e-31
1.8338e-01,7.8030e-03,0.0000e+00,2.0230e-31,2.0230e-31,2.0230e-31,2.0230e-31,2.0230e-31,2.0230e-31
1.8594e-01,7.8030e-03,0.0000e+00,2.0504e-31,2.0504e-31,2.0504e-31,2.0504e-31,2.0504e-31,2.0504e-31
1.8853e-01,7.8030e-03,0.0000e+00,1.6626e-31,1.6626e-31,1.6626e-31,1.6626e-31,1.6626e-31,1.6626e-31
1.9115e-01,7.8030e-03,0.0000e+00,2.1064e-31,2.1064e-31,2.1064e-31,2.1064e-31,2.1064e-31,2.1064e-31
