# x         Y_DM           Y_eq_DM         Y_Coannihilator           Y_eq_Coannihilator
1.466322498552861564e+00 4.330651217392960002e-03 4.330651217270269082e-03 1.410517483361186600e-03 1.410517483383095291e-03
1.496705393787735261e+00 4.268993037578561363e-03 4.268993037444743927e-03 1.389392068217467626e-03 1.389392068241992280e-03
1.527088289022608958e+00 4.207526080016866891e-03 4.207526079871654057e-03 1.368352080220447452e-03 1.368352080247761324e-03
1.557471184257482655e+00 4.146280534856174559e-03 4.146280534696273820e-03 1.347407738190375048e-03 1.347407738221128659e-03
1.587854079492356352e+00 4.085285128689938178e-03 4.085285128514996519e-03 1.326568729785065253e-03 1.326568729819483251e-03
1.618236974727230049e+00 4.024567163939163188e-03 4.024567163748759939e-03 1.305844226899854172e-03 1.305844226937403129e-03
1.667983708295871281e+00 3.925818305848243622e-03 3.925818305623295090e-03 1.272181163450217386e-03 1.272181163497420079e-03
1.717730441864512514e+00 3.827988244643927129e-03 3.827988244379870557e-03 1.238883417189994875e-03 1.238883417247472335e-03
1.767477175433153747e+00 3.731173810808610745e-03 3.731173810499659529e-03 1.205982958822002455e-03 1.205982958891753300e-03
1.817223909001794979e+00 3.635463070406308624e-03 3.635463070041031371e-03 1.173508621338945112e-03 1.173508621424370702e-03
1.837185556759653782e+00 3.597386159880465797e-03 3.597386159491040326e-03 1.160603506200844114e-03 1.160603506293182794e-03
1.857147204517512584e+00 3.559504677487267035e-03 3.559504677066813866e-03 1.147772740609247786e-03 1.147772740710336194e-03
1.877108852275371387e+00 3.521823212485395479e-03 3.521823212033303122e-03 1.135017795584744018e-03 1.135017795694935171e-03
1.897070500033230189e+00 3.484346158465871212e-03 3.484346157980422725e-03 1.122340072827489148e-03 1.122340072947423592e-03
1.917032147791088992e+00 3.447077717685217459e-03 3.447077717158084434e-03 1.109740906358239881e-03 1.109740906490223498e-03
1.936993795548947794e+00 3.410021905331828661e-03 3.410021904762025342e-03 1.097221564142438063e-03 1.097221564287028566e-03
1.969797732883034058e+00 3.349598159533375731e-03 3.349598158879695930e-03 1.076824449756413199e-03 1.076824449925436848e-03
2.002601670217120322e+00 3.289774886067438255e-03 3.289774885340639859e-03 1.056651109542724966e-03 1.056651109733858099e-03
2.035405607551206586e+00 3.230566799424303484e-03 3.230566798654989184e-03 1.036706078581162063e-03 1.036706078783927818e-03
2.068209544885292850e+00 3.171987408770253133e-03 3.171987407954862843e-03 1.016993469857469228e-03 1.016993470072399732e-03
2.101013482219379114e+00 3.114049065017842483e-03 3.114049064156644651e-03 9.975169919227801826e-04 9.975169921507820447e-04
2.133817419553465378e+00 3.056763006934561967e-03 3.056763006023006414e-03 9.782799660581508773e-04 9.782799662996040022e-04
2.165044093131260450e+00 3.002846655539618236e-03 3.002846654582197895e-03 9.601930463206938358e-04 9.601930465757290865e-04
2.196270766709055522e+00 2.949538507583006688e-03 2.949538506571979055e-03 9.423280287412596785e-04 9.423280290102422144e-04
2.227497440286850594e+00 2.896845667555573642e-03 2.896845666492138278e-03 9.246868814246472215e-04 9.246868817088851325e-04
2.258724113864645666e+00 2.844774465629019717e-03 2.844774464510501678e-03 9.072713059488404482e-04 9.072713062488033022e-04
