 x ,            1  ,            2  ,            3  ,            4  ,            5  ,            6  ,            7  ,            8  ,            9  ,           10  ,           11  ,           12  ,           13  ,           14  ,           15  ,           16  ,           17  ,           18  , 
   10.900000000000000       ,    9.9628416138805133E-012  ,    9.9628416138805133E-012  ,    9.9628416138805133E-012  ,    9.9628416138805133E-012  ,    9.9628416138805133E-012  ,    9.9628416138805133E-012  ,    8.0582393882101677E-010  ,    8.0582393882101677E-010  ,    8.0582393882101677E-010  ,    8.0582393882101677E-010  ,    8.0582393882101677E-010  ,    8.0582393882101677E-010  ,    2.2263658973418860E-013  ,    2.2263658973418860E-013  ,    2.2263658973418860E-013  ,    2.2263658973418860E-013  ,    2.2263658973418860E-013  ,    2.2263658973418860E-013  , 
   11.890000000000001       ,    9.8035880383508602E-012  ,    9.8035880383508602E-012  ,    9.8035880383508602E-012  ,    9.8035880383508602E-012  ,    9.8035880383508602E-012  ,    9.8035880383508602E-012  ,    8.1053491233047885E-010  ,    8.1053491233047885E-010  ,    8.1053491233047885E-010  ,    8.1053491233047885E-010  ,    8.1053491233047885E-010  ,    8.1053491233047885E-010  ,    2.2480844352892009E-013  ,    2.2480844352892009E-013  ,    2.2480844352892009E-013  ,    2.2480844352892009E-013  ,    2.2480844352892009E-013  ,    2.2480844352892009E-013  , 
   12.880000000000001       ,    9.6775202860876548E-012  ,    9.6775202860876548E-012  ,    9.6775202860876548E-012  ,    9.6775202860876548E-012  ,    9.6775202860876548E-012  ,    9.6775202860876548E-012  ,    8.1469030383988965E-010  ,    8.1469030383988965E-010  ,    8.1469030383988965E-010  ,    8.1469030383988965E-010  ,    8.1469030383988965E-010  ,    8.1469030383988965E-010  ,    2.2669618803137542E-013  ,    2.2669618803137542E-013  ,    2.2669618803137542E-013  ,    2.2669618803137542E-013  ,    2.2669618803137542E-013  ,    2.2669618803137542E-013  , 
   13.869999999999999       ,    9.5756530112983683E-012  ,    9.5756530112983683E-012  ,    9.5756530112983683E-012  ,    9.5756530112983683E-012  ,    9.5756530112983683E-012  ,    9.5756530112983683E-012  ,    8.1837880599608166E-010  ,    8.1837880599608166E-010  ,    8.1837880599608166E-010  ,    8.1837880599608166E-010  ,    8.1837880599608166E-010  ,    8.1837880599608166E-010  ,    2.2835086913213137E-013  ,    2.2835086913213137E-013  ,    2.2835086913213137E-013  ,    2.2835086913213137E-013  ,    2.2835086913213137E-013  ,    2.2835086913213137E-013  , 
   14.859999999999999       ,    9.4918984300204215E-012  ,    9.4918984300204215E-012  ,    9.4918984300204215E-012  ,    9.4918984300204215E-012  ,    9.4918984300204215E-012  ,    9.4918984300204215E-012  ,    8.2167230696833277E-010  ,    8.2167230696833277E-010  ,    8.2167230696833277E-010  ,    8.2167230696833277E-010  ,    8.2167230696833277E-010  ,    8.2167230696833277E-010  ,    2.2981237788017662E-013  ,    2.2981237788017662E-013  ,    2.2981237788017662E-013  ,    2.2981237788017662E-013  ,    2.2981237788017662E-013  ,    2.2981237788017662E-013  , 
   15.850000000000000       ,    9.4220040699486350E-012  ,    9.4220040699486350E-012  ,    9.4220040699486350E-012  ,    9.4220040699486350E-012  ,    9.4220040699486350E-012  ,    9.4220040699486350E-012  ,    8.2462931695145444E-010  ,    8.2462931695145444E-010  ,    8.2462931695145444E-010  ,    8.2462931695145444E-010  ,    8.2462931695145444E-010  ,    8.2462931695145444E-010  ,    2.3111220464835485E-013  ,    2.3111220464835485E-013  ,    2.3111220464835485E-013  ,    2.3111220464835485E-013  ,    2.3111220464835485E-013  ,    2.3111220464835485E-013  , 
   16.840000000000000       ,    9.3629206326009730E-012  ,    9.3629206326009730E-012  ,    9.3629206326009730E-012  ,    9.3629206326009730E-012  ,    9.3629206326009730E-012  ,    9.3629206326009730E-012  ,    8.2729773871736815E-010  ,    8.2729773871736815E-010  ,    8.2729773871736815E-010  ,    8.2729773871736815E-010  ,    8.2729773871736815E-010  ,    8.2729773871736815E-010  ,    2.3227547053935979E-013  ,    2.3227547053935979E-013  ,    2.3227547053935979E-013  ,    2.3227547053935979E-013  ,    2.3227547053935979E-013  ,    2.3227547053935979E-013  , 
   17.829999999999998       ,    9.3124113324187711E-012  ,    9.3124113324187711E-012  ,    9.3124113324187711E-012  ,    9.3124113324187711E-012  ,    9.3124113324187711E-012  ,    9.3124113324187711E-012  ,    8.2971705119468486E-010  ,    8.2971705119468486E-010  ,    8.2971705119468486E-010  ,    8.2971705119468486E-010  ,    8.2971705119468486E-010  ,    8.2971705119468486E-010  ,    2.3332242258722966E-013  ,    2.3332242258722966E-013  ,    2.3332242258722966E-013  ,    2.3332242258722966E-013  ,    2.3332242258722966E-013  ,    2.3332242258722966E-013  , 
   18.820000000000000       ,    9.2688024427411792E-012  ,    9.2688024427411792E-012  ,    9.2688024427411792E-012  ,    9.2688024427411792E-012  ,    9.2688024427411792E-012  ,    9.2688024427411792E-012  ,    8.3192001416626649E-010  ,    8.3192001416626649E-010  ,    8.3192001416626649E-010  ,    8.3192001416626649E-010  ,    8.3192001416626649E-010  ,    8.3192001416626649E-010  ,    2.3426953984662522E-013  ,    2.3426953984662522E-013  ,    2.3426953984662522E-013  ,    2.3426953984662522E-013  ,    2.3426953984662522E-013  ,    2.3426953984662522E-013  , 
   19.809999999999999       ,    9.2308193887726659E-012  ,    9.2308193887726659E-012  ,    9.2308193887726659E-012  ,    9.2308193887726659E-012  ,    9.2308193887726659E-012  ,    9.2308193887726659E-012  ,    8.3393399687693459E-010  ,    8.3393399687693459E-010  ,    8.3393399687693459E-010  ,    8.3393399687693459E-010  ,    8.3393399687693459E-010  ,    8.3393399687693459E-010  ,    2.3513035838859548E-013  ,    2.3513035838859548E-013  ,    2.3513035838859548E-013  ,    2.3513035838859548E-013  ,    2.3513035838859548E-013  ,    2.3513035838859548E-013  , 
